country,year,average_annual_net_earnings,employment_rate,income_inequality_ratio,work_poverty_risk_percentage
EE,2021,15300.44,79.3,5.03,10
EE,2022,16319.23,81.9,5.09,10.5
EL,2009,18510.86,65.4,6.21,13.8
EL,2010,18567.36,63.5,5.95,13.8
EL,2011,17573.29,59.3,6.4,11.9
EL,2012,17136.81,54.5,7.35,15.1
EL,2013,15845.09,52.5,7.46,13.1
EL,2014,16069.85,53.1,7.29,13.4
EL,2015,15627.52,54.8,7.35,13.4
EL,2016,15006.72,55.9,7.41,14.1
EL,2017,14898.2,57.4,6.73,12.9
EL,2018,14850.01,59,6.07,11
EL,2019,15075.5,60.8,5.59,10.2
EL,2020,14325.38,58.3,5.68,10.1
EL,2021,15118.82,62.6,6.38,11.3
EL,2022,15335.47,66.3,5.61,10.6
ES,2009,19380.5,64,6.05,11.7
ES,2010,19399.72,62.8,6.49,10.9
ES,2011,19891.57,62,6.65,10.9
ES,2012,19975.06,59.6,6.98,10.8
ES,2013,20061.89,58.6,6.76,10.5
ES,2014,20169.47,59.9,7.47,12.5
ES,2015,20844.88,62,7.63,13.1
ES,2016,20827.52,63.9,7.25,13.1
ES,2017,20948.65,65.5,7.18,13.1
ES,2018,21198.42,67,6.46,12.9
ES,2019,21481.84,68,6.35,12.7
ES,2020,20632.83,65.7,5.99,11.8
ES,2021,21668.52,67.7,6.45,12.7
ES,2022,22293.9,69.5,5.81,11.7
FI,2009,27191.47,72.6,3.68,3.7
FI,2010,27803.54,71.9,3.65,3.7
FI,2011,28421.92,72.7,3.75,3.9
FI,2012,29246.92,73,3.68,3.8
FI,2013,29654.15,72.5,3.59,3.7
FI,2014,29641.38,72.2,3.67,3.7
FI,2015,29918.29,71.8,3.63,3.5
FI,2016,30306.38,72.4,3.68,3.1
FI,2017,30805.85,73.2,3.64,2.7
FI,2018,31400.22,75.3,3.78,3.1
FI,2019,32135.14,76.2,3.8,2.9
FI,2020,33191.98,75.5,3.83,3.1
FI,2021,33992.19,76.8,3.66,2.8
FI,2022,34971.52,78.4,3.84,2.5
FR,2009,24627.9,69.8,4.3,6.6
FR,2010,25031.8,69.6,4.44,6.5
FR,2011,25576.25,69.5,4.62,7.6
FR,2012,25978.92,69.7,4.51,8
FR,2013,26269.15,69.7,4.5,7.8
FR,2014,26578.46,70,4.19,8
FR,2015,26958.75,70.3,4.22,7.5
FR,2016,26880.7,70.7,4.27,7.9
FR,2017,27022.48,71.3,4.34,7.3
FR,2018,27662.94,72,4.25,7.1
FR,2019,28153.77,72.3,4.31,7.4
FR,2020,27466.98,72.1,4.65,7.4
FR,2021,28559.28,73.2,4.72,6.9
FR,2022,30052.7,74,4.94,7.5
HR,2013,7937.17,57.2,5.44,6.2
HR,2014,7970.4,59.2,5.17,5.7
HR,2015,8296.67,60.6,5.21,5.9
HR,2016,8443.99,61.4,5,5.6
HR,2017,8788.64,63.6,5,5.8
HR,2018,9168.35,65.2,4.94,5.2
HR,2019,9428.49,66.7,4.68,5.1
HR,2020,9815.98,66.9,4.42,5.1
HR,2021,10382.66,68.2,4.62,4.9
HR,2022,10864.04,69.7,4.33,4.7
HU,2009,5409.39,62.5,3.67,6.2
HU,2010,6256.57,62.2,3.58,5.3
HU,2011,6146.32,62.8,4.19,6.2
HU,2012,6369.22,63.8,4.28,5.7
HU,2013,6475.08,65.2,4.59,7
HU,2014,6478.42,68.7,4.65,6.7
HU,2015,6703.57,70.9,4.57,9.3
HU,2016,7138.72,73.7,4.52,9.6
HU,2017,8023.72,75.4,4.42,10.2
HU,2018,8586.94,76.7,4.59,8.4
HU,2019,9390.54,77.6,4.51,8.4
HU,2020,9549.21,77.5,4.19,7.8
HU,2021,10074.96,78.8,4.39,7.6
HU,2022,10754.67,80.2,4.06,7
IE,2009,32441.06,68,4.28,5.3
IE,2010,32138.69,65.5,4.8,5.5
IE,2011,31159.23,64.5,4.68,5.5
IE,2012,31541.73,64.5,4.83,5.4
IE,2013,31531.28,66.5,4.83,5
IE,2014,31687.39,68.1,4.99,5.6
IE,2015,32344.52,69.8,4.58,4.9
IE,2016,33346.95,71.3,4.56,5.1
IE,2017,33976.58,72.9,4.76,5.1
IE,2018,35126.52,74,4.32,4.8
IE,2019,36198.8,75,4.05,4.3
IE,2020,37199.12,72.1,4.06,6
IE,2021,37907.05,74.9,3.79,4.3
IE,2022,39616.81,78.2,4.03,5.3
IS,2009,21683.7,80.6,4.15,7.7
IS,2010,23506.13,80.4,3.57,6.6
IS,2011,24971.24,80.6,3.36,6.4
IS,2012,27158.87,81.8,3.35,5.2
IS,2013,29098.7,82.8,3.41,6.1
IS,2014,32941.08,84.9,3.15,4.6
IS,2015,37027.37,86.5,3.42,6.5
IS,2016,44042.96,87.8,3.33,6.4
IS,2017,50456.07,87.6,3.56,7
IS,2018,48794.28,86.5,3.19,7
IT,2009,19269.56,61.1,5.47,10.2
IT,2010,19705.17,60.5,5.76,9.5
IT,2011,19983.62,60.5,6.19,11
IT,2012,20327.68,60.2,6.09,11
IT,2013,20656.6,59.1,6.38,11
IT,2014,20930.61,59.5,6.29,11
IT,2015,21051.62,60.2,6.32,11.5
IT,2016,21092.75,61.4,6.85,11.7
IT,2017,21138.65,62.3,6.34,12.2
IT,2018,21294.82,63,6.55,12.2
IT,2019,21500.18,63.5,6.35,11.8
IT,2020,22507.69,61.9,5.97,10.8
IT,2021,22999.27,62.7,6.04,11.6
IT,2022,24102.41,64.8,5.71,11.5
LT,2009,5361.47,67,6.91,10.3
LT,2010,5245.02,64.3,8.44,12.6
LT,2011,5401.3,66.9,6.56,9.5
LT,2012,5635.73,68.5,5.73,7.6
LT,2013,5954.89,69.9,6.61,9.1
LT,2014,6284.47,71.8,6.56,8.3
LT,2015,6651.85,73.3,8.52,9.9
LT,2016,7217.25,75.2,7.65,8.5
LT,2017,7897.69,76,7.78,8.5
LT,2018,8690.66,77.8,7.41,8.1
LT,2019,9794.92,78.2,6.62,7.9
LT,2020,10787.57,76.7,6.17,8
LT,2021,11798.21,77.4,6.23,7.5
LT,2022,12996.85,79,6.33,7.6
LU,2009,35539.77,70.4,4.52,10
LU,2010,36167.09,70.7,4.28,10.6
LU,2011,36278.25,70.1,4.07,9.9
LU,2012,37354.34,71.4,4.16,10.2
LU,2013,37792.01,71.1,4.64,11.2
LU,2014,38443.48,72.1,4.49,11.1
LU,2015,38630.79,70.9,4.35,11.6
LU,2016,38935.73,70.7,4.59,10.9
LU,2017,41340.39,71.5,4.57,10.8
LU,2018,42063.48,72.1,5.2,11.5
LU,2019,42650.78,72.8,5.44,12.1
LU,2020,44374.32,72.1,5.07,11.9
LU,2021,44934.82,74.1,4.59,13.5
LU,2022,47639.65,74.8,4.55,12.9
LV,2009,5424.98,66.3,7.6,10.8
LV,2010,5068.61,63.9,7.72,9.4
LV,2011,5286.45,66.1,7.36,9.3
LV,2012,5462.67,67.9,7.27,8.6
LV,2013,5776.88,69.5,6.99,8.9
LV,2014,6264.34,70.6,6.92,8.1
LV,2015,6814.57,72.5,6.93,9.2
LV,2016,7212.23,73,6.23,8.3
LV,2017,7772.59,74.6,6.29,8.8
LV,2018,8474.82,76.8,6.68,8.1
LV,2019,9144.05,77.3,6.12,8.5
LV,2020,9786.84,76.9,6.06,8.2
LV,2021,11229.49,75.3,6.34,9.8
LV,2022,12315.32,77,6.16,9.2
MT,2009,13883.84,59,4.03,5.4
MT,2010,14473.93,60.1,4.38,5.9
MT,2011,15642.97,61.6,4.1,6.1
MT,2012,15999.95,63.9,3.99,5.2
MT,2013,16306,66.2,4.28,5.7
MT,2014,16010,67.9,4.18,5.5
MT,2015,16337.95,69,4.23,5.5
MT,2016,16926.2,71.1,4.29,5.9
MT,2017,17305.15,73,4.25,5.7
MT,2018,17890.15,75.5,4.41,6.4
MT,2019,19107.19,76.8,4.26,6.5
MT,2020,19652.9,77.3,4.79,7.4
MT,2021,18292.5,79.1,5.17,7.3
MT,2022,18641.55,81.1,4.79,7.1
NL,2009,30291.69,77.6,4.07,5
NL,2010,30901.41,77,3.75,5.1
NL,2011,31612.2,77.2,3.82,5.4
NL,2012,31732.71,77.5,3.71,4.6
NL,2013,31241.89,76.7,3.67,4.5
NL,2014,32675.67,76.3,3.91,5.3
NL,2015,34551.5,77.2,4,5
NL,2016,34975.7,77.9,4.12,5.6
NL,2017,35426.38,78.9,4.2,6.1
NL,2018,35838.18,80,4.28,6.1
NL,2019,37402.24,81,4.11,5.5
NL,2020,39142.87,80.8,4.4,5.6
NL,2021,40433.34,81.7,4.06,5.2
NL,2022,41556.78,82.9,4.1,5
NO,2009,36967.18,80.9,3.6,5.6
NO,2010,41684.47,80,3.48,5.2
NO,2011,44490.18,80.4,3.34,5.6
NO,2012,47783.08,80.4,3.32,5
NO,2013,47595.99,80.2,3.35,5.6
NO,2014,45903.97,80.1,3.52,5
NO,2015,44264.42,79.7,3.64,5.5
NO,2016,43663.67,79.4,3.83,5.7
NO,2017,44445.05,79.2,4.09,5.8
NO,2018,44694,80,3.93,6
NO,2019,45218.77,80.2,3.98,6.3
NO,2020,42523.5,79.7,3.86,5.9
NO,2021,45686.24,80,4.08,5.9
NO,2022,47902.53,80.9,4.39,5.9
PL,2009,6093.94,62.6,5.22,11
PL,2010,6896.23,62.2,5.2,11.4
PL,2011,7085.75,62.5,5.19,11.1
PL,2012,7235.5,62.9,5.17,10.4
PL,2013,7466.23,63.2,5.15,10.7
PL,2014,7991.17,64.9,5.21,10.6
PL,2015,8275.99,66.3,5.23,11.2
PL,2016,8200.43,68.2,5.05,10.8
PL,2017,8975.57,70,4.78,9.9
PL,2018,9574.65,71.4,4.43,9.7
PL,2019,10225.78,72.3,4.52,9.7
PL,2020,10559.29,72.7,4.18,9.6
PL,2021,10643.29,75.4,4.15,8.9
PL,2022,12024.7,76.7,4.06,9.1
PT,2009,12261.74,67.6,6.21,10.3
PT,2010,12869.63,66.9,5.67,9.7
PT,2011,12435.4,66.7,5.82,10.3
PT,2012,13158.03,64,5.97,9.9
PT,2013,12795.86,63.4,6.33,10.5
PT,2014,12613.06,66.1,6.63,10.7
PT,2015,12441.12,67.9,6.35,10.9
PT,2016,12724.81,69.5,6.02,10.9
PT,2017,13040.67,72.5,5.88,10.8
PT,2018,13662.54,74.7,5.22,9.7
PT,2019,14202.25,75.5,5.14,10.8
PT,2020,14384.35,74.2,4.99,9.5
PT,2021,14876.1,75.5,5.65,11.2
PT,2022,15526.44,77.1,5.01,10.3
RO,2009,3575.08,53.9,6.97,17.4
RO,2010,3872.44,56.3,6.57,17.9
RO,2011,4081.39,56,6.72,19.1
RO,2012,4000.73,56.8,7.19,19
RO,2013,4340.64,56.9,7.4,18.4
RO,2014,4610.25,58,7.85,19.8
RO,2015,5117.82,59.2,8.79,18.8
RO,2016,5518.93,60.3,8.03,18.9
RO,2017,6049.96,62.7,7.04,17.4
RO,2018,6669.59,63.9,8.05,15.3
RO,2019,7230.37,65.1,7.82,15.7
RO,2020,7629.63,65.2,7.21,14.9
RO,2021,8069.82,67.1,7.8,15.5
RO,2022,8946.76,68.5,6.56,14.5
SE,2009,25451.97,77.7,4.04,7.5
SE,2010,29043.96,77.5,4.01,7.7
SE,2011,31319.63,78.8,4.06,7.5
SE,2012,33473.42,78.9,4.1,7.2
SE,2013,34473.44,79.2,4.12,7.6
SE,2014,33923.28,79.4,4.31,7.7
SE,2015,33389.85,79.9,4.25,8
SE,2016,33711.94,80.6,4.34,6.7
SE,2017,33923.05,81.2,4.4,6.9
SE,2018,32688.36,81.8,4.31,7
SE,2019,32427.59,81.5,4.52,7.8
SE,2020,33366.68,80.1,4.3,7.8
SE,2021,35485.73,80.7,4.25,6.7
SE,2022,35233.47,82.2,4.47,7.5
SI,2009,10782.68,71.4,3.15,4.8
SI,2010,11284.13,69.7,3.35,5.3
SI,2011,11567.85,67.8,3.4,6
SI,2012,11707.47,67.8,3.39,6.5
SI,2013,11824.18,66.7,3.57,7.1
SI,2014,11980.57,67.3,3.72,6.4
SI,2015,12062.45,68.6,3.59,6.7
SI,2016,12202.35,69.5,3.54,6.1
SI,2017,12487.25,72.9,3.41,6.6
SI,2018,12902.38,74.9,3.32,6
SI,2019,13298.17,75.9,3.34,4.5
SI,2020,13896.79,74.8,3.28,5
SI,2021,14601.22,76.1,3.2,5
SI,2022,15495.24,77.9,3.21,4.8
SK,2009,7264.52,68.3,3.7,5.2
SK,2010,7493.69,66.5,4.04,5.7
SK,2011,7642.75,66.8,4.01,6.3
SK,2012,7797.27,66.9,3.95,6.2
SK,2013,7936.58,66.9,3.81,5.7
SK,2014,8250.32,67.8,4.25,5.7
SK,2015,8426.75,69.6,3.78,6
SK,2016,8654.34,71.8,3.9,6.5
SK,2017,8961.03,73.2,3.72,6.3
SK,2018,9464.61,74.5,3.18,6
SK,2019,9975.02,75.6,3.52,4.4
SK,2020,10250.84,74.6,3.16,5.2
SK,2021,10984.68,74.6,3.3,6.7
SK,2022,11769.11,76.7,3.3,7.1
TR,2009,5594.82,47.8,10.43,18.8
TR,2010,6629.01,50,9.98,18
TR,2011,6184.54,52.2,9.64,16
TR,2012,6956.76,52.8,9.45,15.3
TR,2013,7107.47,53.4,8.79,14.9
TR,2014,6879.9,53.2,8.41,14.4
TR,2015,7487.85,53.9,8.74,13.7
TR,2016,8108.39,54.4,8.81,13.5
TR,2017,7214.91,55.3,8.86,12.8
TR,2018,6129.16,55.6,8.75,13.1
TR,2019,6905.8,53.8,8.47,13.2
TR,2020,6440.97,51,9.14,12.9
