country,year,life_expectancy,healthy_expectancy_2004_2021
IS,2018,82.9,62.4
IT,2004,80.9,69.9
IT,2005,80.9,67.3
IT,2006,81.4,65
IT,2007,81.6,63
IT,2008,81.7,62.4
IT,2009,81.8,62.9
IT,2011,82.4,63
IT,2012,82.4,61.8
IT,2013,82.9,61.6
IT,2014,83.2,62.4
IT,2015,82.7,62.6
IT,2016,83.4,67.4
IT,2017,83.1,66.3
IT,2018,83.4,66.8
IT,2019,83.6,68.3
IT,2020,82.3,68
IT,2021,82.7,68.1
LT,2005,71.2,52.9
LT,2006,71,54.4
LT,2007,70.7,55.7
LT,2008,71.7,56.8
LT,2009,72.9,58.9
LT,2010,73.3,59.8
LT,2011,73.7,59.5
LT,2012,74.1,59.1
LT,2013,74.1,59.2
LT,2014,74.7,59.7
LT,2015,74.6,56.5
LT,2016,74.9,57.8
LT,2017,75.8,58.1
LT,2018,76,57.7
LT,2019,76.5,57.5
LT,2020,75.1,56.8
LT,2021,74.2,57.6
LU,2004,79.2,59.9
LU,2005,79.6,62.4
LU,2006,79.4,61.7
LU,2007,79.5,63.5
LU,2008,80.7,64.6
LU,2009,80.8,65.7
LU,2010,80.8,65.5
LU,2011,81.1,66.5
LU,2012,81.5,66.1
LU,2013,81.9,63.3
LU,2014,82.3,63.8
LU,2015,82.4,62.2
LU,2016,82.7,60.2
LU,2017,82.1,59.2
LU,2018,82.3,60.7
LU,2019,82.7,62.6
LU,2020,82.2,63.3
LU,2021,82.7,62
LV,2005,70.6,51.9
LV,2006,70.6,51.7
LV,2007,70.8,53.1
LV,2008,72.1,53
LV,2009,72.8,54.1
LV,2010,73.1,54.8
LV,2011,73.9,55.1
LV,2012,74.1,56.8
LV,2013,74.3,53
LV,2014,74.5,53.4
LV,2015,74.8,53
LV,2016,74.9,53.6
LV,2017,74.9,51.4
LV,2018,75.1,52.3
LV,2019,75.7,53.1
LV,2020,75.5,53.4
LV,2021,73.1,53.8
MT,2005,79.4,69.6
MT,2006,79.5,69
MT,2007,79.9,70.2
MT,2008,79.7,70.4
MT,2009,80.4,70.2
MT,2010,81.5,70.7
MT,2011,80.9,70.3
MT,2012,80.9,71.9
MT,2013,81.9,72.1
MT,2014,82.1,73.4
MT,2015,82,73.6
MT,2016,82.6,71.7
MT,2017,82.4,72.7
MT,2018,82.5,72.7
MT,2019,82.9,73.2
MT,2020,82.3,70.5
MT,2021,82.5,68.7
NL,2005,79.6,64.5
NL,2006,80,64.3
NL,2007,80.4,65.2
NL,2008,80.5,61.2
NL,2009,80.9,60.9
NL,2010,81,60.7
NL,2011,81.3,61.5
NL,2012,81.2,61.2
NL,2013,81.4,59.5
NL,2014,81.8,61.2
NL,2015,81.6,59.1
NL,2016,81.7,60.3
NL,2017,81.8,60
NL,2018,81.9,59.2
NL,2019,82.2,61
NL,2020,81.4,61.1
NL,2021,81.4,60.3
NO,2004,80.1,65.6
NO,2005,80.3,65.2
NO,2006,80.6,64.6
NO,2007,80.6,66.3
NO,2008,80.8,69.5
NO,2009,81,68.4
NO,2010,81.2,69.9
NO,2011,81.4,75.1
NO,2012,81.5,71.3
NO,2013,81.8,70
NO,2014,82.2,71.1
NO,2015,82.4,70.4
NO,2016,82.5,69.9
NO,2017,82.7,70.9
NO,2018,82.8,70.4
NO,2019,83,69.8
NO,2020,83.3,68.6
PL,2005,75,64
PL,2006,75.3,60.6
PL,2007,75.4,59.5
PL,2008,75.6,60.8
PL,2009,75.9,60.4
PL,2010,76.4,60.4
PL,2011,76.8,61.1
PL,2012,76.9,61
PL,2013,77.1,61
PL,2014,77.8,61.3
PL,2015,77.5,61.6
PL,2016,78,62.9
PL,2017,77.8,62
PL,2018,77.7,62.4
PL,2019,78,62.5
PL,2020,76.5,62.3
PL,2021,75.5,62.6
PT,2004,78.4,53.9
PT,2005,78.2,57.8
PT,2006,79,59
PT,2007,79.3,58.2
PT,2008,79.5,58.4
PT,2009,79.7,57.3
PT,2010,80.1,58
PT,2011,80.7,59.6
PT,2012,80.6,63.6
PT,2013,80.9,63
PT,2014,81.3,56.9
PT,2015,81.3,56.5
PT,2016,81.3,58.6
PT,2017,81.6,58.5
PT,2018,81.5,58.6
PT,2019,81.9,59.2
PT,2020,81.1,59.7
PT,2021,81.5,58.3
RO,2007,73.1,61.4
RO,2008,73.5,61.5
RO,2009,73.7,60.7
RO,2010,73.7,57.4
RO,2011,74.4,57.5
RO,2012,74.4,57.6
RO,2013,75.1,58.4
RO,2014,75,59
RO,2015,74.9,59.2
RO,2016,75.2,59.4
RO,2017,75.2,58.7
RO,2018,75.3,59.4
RO,2019,75.6,60.2
RO,2020,74.2,59.9
RO,2021,72.8,57.8
SE,2004,80.7,61.4
SE,2005,80.7,63.8
SE,2006,81,67.4
SE,2007,81.1,67.3
SE,2008,81.3,64.7
SE,2009,81.5,65.8
SE,2010,81.6,66.1
SE,2011,81.9,65.5
SE,2013,82,65.8
SE,2014,82.3,72.9
SE,2015,82.2,72.7
SE,2016,82.4,73.2
SE,2017,82.5,72.6
SE,2018,82.6,72.8
SE,2019,83.2,73.3
SE,2020,82.4,72.7
SE,2021,83.1,68.4
SI,2005,77.5,58.2
SI,2006,78.3,59.4
SI,2007,78.4,60.4
SI,2008,79.1,60.2
SI,2009,79.4,61
SI,2010,79.8,53.9
SI,2011,80.1,53.9
SI,2012,80.3,56
SI,2013,80.5,58.5
SI,2014,81.2,58.7
SI,2015,80.9,58.1
SI,2016,81.2,58.3
SI,2017,81.2,55
SI,2018,81.5,55.5
SI,2019,81.6,60.9
SI,2020,80.6,65.1
SI,2021,80.7,65.4
SK,2005,74.1,55.9
SK,2006,74.5,54.5
SK,2007,74.6,55.8
SK,2008,74.9,52.3
SK,2009,75.3,52.4
SK,2010,75.6,52.2
SK,2011,76.1,52.2
SK,2012,76.3,53.3
SK,2013,76.6,54.4
SK,2014,77,55.1
SK,2015,76.7,54.9
SK,2016,77.3,56.7
SK,2017,77.3,55.6
SK,2018,77.4,56.1
SK,2019,77.8,56.2
SK,2020,77,56.7
SK,2021,74.6,56.8
UK,2005,79.2,64.9
UK,2006,79.5,64.8
UK,2007,79.7,65.3
UK,2008,79.8,65.6
UK,2009,80.4,65.5
UK,2010,80.6,65.3
UK,2011,81,65.2
UK,2012,81,64.5
UK,2013,81.1,64.6
UK,2014,81.4,63.8
UK,2015,81,63.5
UK,2016,81.2,63.1
UK,2017,81.3,62.7
UK,2018,81.3,61.2
